-- transaction 더미 데이터 (mem_id=1, acct_id=2, card_id=NULL, 2026-04-01 ~ 2026-06-20)

-- ===== 4월 (30건) =====
INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'DEPOSIT', '급여', 3000000, 4000000, '회사 급여', TIMESTAMP '2026-04-01 09:00:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '식비', 15000, 3985000, '맥도날드', TIMESTAMP '2026-04-02 12:30:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '교통', 4500, 3980500, '서울교통공사', TIMESTAMP '2026-04-03 08:15:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '식비', 32000, 3948500, '한식당', TIMESTAMP '2026-04-04 19:30:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '쇼핑', 55000, 3893500, '올리브영', TIMESTAMP '2026-04-05 14:00:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '카페', 7500, 3886000, '이디야커피', TIMESTAMP '2026-04-07 09:45:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '식비', 28000, 3858000, '중식당', TIMESTAMP '2026-04-08 20:00:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '의료', 30000, 3828000, '서울약국', TIMESTAMP '2026-04-09 11:30:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '쇼핑', 85000, 3743000, '쿠팡', TIMESTAMP '2026-04-10 17:00:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '교통', 4500, 3738500, '서울교통공사', TIMESTAMP '2026-04-11 08:00:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'PAYMENT', '식비', 22000, 3716500, '롯데리아', TIMESTAMP '2026-04-12 13:00:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
VALUES (2, NULL, 1, 'WITHDRAW', '카페', 9000, 3707500, '스타벅스', TIMESTAMP '2026-04-13 16:00:00');

INSERT INTO transaction (acct_id, card_id, mem_id, tx_type, category, amt, aft_bal, merch_nm, created_at)
